epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,109.267,0.60139,0.65091,0.96293,0.88384,0.38323,0.47429,0.30255,1.83952,2.20077,1.52516,2.46073e-05,2.46073e-05,2.46073e-05
74,110.752,0.78683,0.90186,1.25124,0.88384,0.38323,0.47429,0.30255,1.83952,2.20077,1.52516,2.40891e-05,2.40891e-05,2.40891e-05
75,112.285,0.83359,0.84322,1.37117,0.8827,0.38251,0.47614,0.3028,1.82798,2.15764,1.5065,2.35472e-05,2.35472e-05,2.35472e-05
76,113.722,0.5922,0.66817,1.06129,0.8827,0.38251,0.47614,0.3028,1.82798,2.15764,1.5065,2.29819e-05,2.29819e-05,2.29819e-05
77,115.186,0.82984,0.96969,1.23151,0.8827,0.38251,0.47614,0.3028,1.82798,2.15764,1.5065,2.23929e-05,2.23929e-05,2.23929e-05
78,116.629,0.71795,0.83451,1.13034,0.88129,0.38181,0.46153,0.28891,1.83842,2.10167,1.49953,2.17805e-05,2.17805e-05,2.17805e-05
79,118.212,0.80665,0.80069,1.1938,0.88129,0.38181,0.46153,0.28891,1.83842,2.10167,1.49953,2.11444e-05,2.11444e-05,2.11444e-05
80,119.696,0.88589,0.70791,1.31109,0.88129,0.38181,0.46153,0.28891,1.83842,2.10167,1.49953,2.04848e-05,2.04848e-05,2.04848e-05
81,121.205,0.67028,0.60194,1.17346,0.88544,0.38212,0.46055,0.29163,1.83833,2.11489,1.50833,1.98016e-05,1.98016e-05,1.98016e-05
82,122.652,0.67931,0.64487,1.17637,0.88544,0.38212,0.46055,0.29163,1.83833,2.11489,1.50833,1.90949e-05,1.90949e-05,1.90949e-05
83,124.088,0.59621,0.96568,1.05804,0.88544,0.38212,0.46055,0.29163,1.83833,2.11489,1.50833,1.83646e-05,1.83646e-05,1.83646e-05
84,125.6,0.6447,0.71861,1.00004,0.88699,0.38238,0.46636,0.29662,1.83095,2.16309,1.51012,1.76107e-05,1.76107e-05,1.76107e-05
85,127.05,0.59748,0.61123,1.07605,0.88699,0.38238,0.46636,0.29662,1.83095,2.16309,1.51012,1.68333e-05,1.68333e-05,1.68333e-05
86,128.531,0.84106,0.98224,1.35741,0.88699,0.38238,0.46636,0.29662,1.83095,2.16309,1.51012,1.60323e-05,1.60323e-05,1.60323e-05
87,129.975,0.56888,0.70689,1.09693,0.88699,0.38238,0.46636,0.29662,1.83095,2.16309,1.51012,1.52077e-05,1.52077e-05,1.52077e-05
88,131.495,0.71187,0.94249,1.1457,0.85001,0.40869,0.4565,0.28847,1.82035,2.19227,1.52577,1.43596e-05,1.43596e-05,1.43596e-05
89,132.965,0.55338,0.63131,1.07135,0.85001,0.40869,0.4565,0.28847,1.82035,2.19227,1.52577,1.34879e-05,1.34879e-05,1.34879e-05
90,134.548,0.61477,0.54963,1.02045,0.85001,0.40869,0.4565,0.28847,1.82035,2.19227,1.52577,1.25927e-05,1.25927e-05,1.25927e-05
91,136,0.55491,0.51728,1.01814,0.85001,0.40869,0.4565,0.28847,1.82035,2.19227,1.52577,1.16739e-05,1.16739e-05,1.16739e-05
92,137.514,0.55497,0.50821,0.87205,0.87098,0.38333,0.45482,0.29004,1.79873,2.13338,1.49672,1.07315e-05,1.07315e-05,1.07315e-05
93,138.978,0.56642,0.62554,1.06323,0.87098,0.38333,0.45482,0.29004,1.79873,2.13338,1.49672,9.76562e-06,9.76562e-06,9.76562e-06
94,140.383,0.422,0.4714,0.88449,0.87098,0.38333,0.45482,0.29004,1.79873,2.13338,1.49672,8.77613e-06,8.77613e-06,8.77613e-06
95,141.784,0.4652,0.42145,0.90536,0.87098,0.38333,0.45482,0.29004,1.79873,2.13338,1.49672,7.76308e-06,7.76308e-06,7.76308e-06
96,143.295,0.59665,0.44866,0.98524,0.79698,0.49821,0.5161,0.29934,1.771,2.14195,1.49207,6.72648e-06,6.72648e-06,6.72648e-06
97,144.764,0.57783,0.55131,0.90728,0.79698,0.49821,0.5161,0.29934,1.771,2.14195,1.49207,5.6663e-06,5.6663e-06,5.6663e-06
98,146.242,0.5848,0.56162,0.97547,0.79698,0.49821,0.5161,0.29934,1.771,2.14195,1.49207,4.58257e-06,4.58257e-06,4.58257e-06
99,147.678,0.60997,0.52297,1.04621,0.79698,0.49821,0.5161,0.29934,1.771,2.14195,1.49207,3.47528e-06,3.47528e-06,3.47528e-06
100,149.3,0.42966,0.48105,0.95192,0.78603,0.49917,0.5149,0.30216,1.78382,2.03259,1.46383,2.34442e-06,2.34442e-06,2.34442e-06
